fen,dataset_next_move,side_to_move,stockfish_bestmove,score_before,score_after,delta
1n1k1b1r/1rpbpppp/1p3n2/1q1p4/p2PPBP1/2P2P2/1P1K2BP/RNQ3NR b - - 4 16,d5e4,black,d5e4,144,153,9
1nbqk2r/rpppnpb1/7p/4N1p1/pPPPP3/B3Q3/P4PPP/RN2KB1R b KQk - 0 9,d7d6,black,d7d6,-55,-47,8
r1bk1bnr/pppn1pp1/3Q3p/4P3/P1P4P/3q3R/RP2PP2/1NB1KBN1 w - - 1 11,d6d3,white,d6d3,747,741,-6
rnb1k2r/1p1p1pp1/p2b3n/q1p1p3/PPP1P1Pp/2N5/3P1P1P/R1BQKBNR b KQkq - 2 10,c5b4,black,c5b4,62,60,-2
r1b1kb2/p2p1pp1/n7/2p1p2n/1pPPP1P1/7B/RP1K1Q2/1N4R1 w q - 2 20,d4e5,white,g4h5,592,605,13
rnbqkbnr/4p1p1/2p5/3p1pPp/2p1PPQP/p6B/PP1P4/RNB1K1NR w KQkq - 0 10,g4g3,white,g4g3,-255,-225,30
rnq1k2r/3p2p1/ppp2n1p/2b2p1P/P2P1pP1/1PP2Q2/4PP1R/3RKBN1 b kq - 0 18,f5g4,black,f5g4,282,298,16
rnb2bnr/1p1p1k1p/p3p1p1/5p2/1PQq4/7N/P1P1PPPP/RNB1KB1R w KQ - 0 10,h3g5,white,h3g5,709,682,-27
rnb1kb1r/ppqp1p1p/B1p1n1p1/4p3/3PP1P1/1P6/P1P1NP1P/RNBQK1R1 b kq - 0 9,b8a6,black,b8a6,398,386,-12
r1bqk2r/2pp1ppp/5n2/1pn1p3/NPP5/P5PN/3PPPBP/R1BQK2R w KQkq - 0 11,a4c5,white,a4c5,621,630,9
4r2r/p1qk1ppp/npp4n/3p4/1P1P1P1b/2PBP2P/P6P/RN1K2NR b - - 4 22,a6b4,black,a6b4,759,783,24
1r1qkb1r/pp2pp1p/n2p1n2/2p3Bb/2P4P/N2P4/PP2PPB1/R2QK1NR b KQk - 2 10,f8g7,black,f8g7,25,25,0
1nr2bnr/p2bpkpp/2pp1p1P/qp2P3/1P1P3R/P1N5/2PK1PP1/R1BQ1BN1 b - - 0 13,a5c7,black,a5d8,-226,-206,20
r1b1qbnr/pBp1p2k/2n4p/3pPp2/5P2/N6P/PPPP1KP1/R1B3NR b - - 0 12,c8b7,black,c8b7,725,724,-1
1r1q2n1/1bnp1k2/2p2ppP/p3p3/pP6/R1P1KN2/3PQ2P/1NB2B1R w - - 1 21,e3f2,white,h6h7,433,434,1
3rk1n1/p2b4/2p4r/1p1p1pp1/2BPPPp1/B1P1K2N/P1Q4P/RN5R b - - 1 25,h6h3,black,h6h3,-466,-453,13
3k1br1/1bq1ppp1/4rn1p/pNpp4/1pPP1P2/1P2B1PP/P6Q/2KR2NR b - - 0 21,c7c8,black,c7c8,113,105,-8
rn2kbnr/pp3pp1/7p/1PpQ4/4p1b1/4qN2/PB2PPBP/RN2K2R w KQ - 2 16,f2e3,white,f2e3,684,641,-43
rn1k1b1r/pp1b1ppp/4pn2/1qpp4/4PPP1/1P1P3P/P1PB4/RN1QKBNR b KQ - 2 9,b5b6,black,b5b6,-91,-92,-1
rnq1kbnr/pp1bp1p1/2pp4/5p1p/5P1P/3P4/PPPBPKP1/RNQ2BNR w kq - 1 7,g1f3,white,g1f3,-58,-57,1
2q1k1r1/2p2pbp/rpnp1Pp1/pP2p3/P3P1n1/7N/RBPPK1BP/1N1Q1R2 b - - 0 17,g7f6,black,c6b4,-356,-394,-38
1r1qkbnr/pbp1p1p1/1pP4p/3pnp2/5B2/P2P4/RP2PPPP/1N1QKBNR w Kk - 2 11,f4e5,white,f4e5,455,428,-27
2b5/rq1pbkrp/npp1pp1n/p7/2PP4/NP2P1PN/PB3P1P/R3KBR1 b - - 0 17,d7d5,black,d7d5,698,683,-15
rnb1kbnr/4q1p1/1p3p2/p1ppp2p/P4PPP/2PPPR2/1P6/RNBQKBN1 b Qkq - 0 11,h5g4,black,h5g4,295,292,-3
r1b2k1r/p2p4/2p2Bp1/1pb2N1p/n3P1P1/1P1p3B/1P3P1P/R2QK1NR w - - 0 23,d1d3,white,d1d3,768,799,31
rnbqkb1r/p1p5/1pn3pB/4pp2/P1P5/1P1P1NP1/4PPBP/RN1QK2R w KQkq - 5 16,h6f8,white,h6f8,321,325,4
r4b1r/p4k2/Pp1n2p1/4p2p/P1pp1pPP/2PP1P2/NB1KP3/1R1Q1B1b w - - 3 24,c3d4,white,g4g5,370,349,-21
r1bqkbr1/2pppp1p/ppn2np1/8/PP1P4/7N/2P1PPPP/RNBQKB1R w KQq - 1 7,d4d5,white,c2c3,-15,-12,3
rnb2b1r/pp3pp1/2pkp3/q2p3p/6nP/N1PP3R/PP2PPP1/R1B1KBN1 w Q - 0 10,g1f3,white,f2f3,-704,-690,14
rnb5/2qpk1rp/1pp1p1p1/pN3P2/1Pn2P1N/P2B2KP/5QP1/R1B2R2 b - - 1 19,g6f5,black,c6b5,-310,-344,-34
2k2rn1/pb1p4/2p1p2r/NpB3p1/3n1Pp1/3P2PN/PPP2P1q/R1Q1K2R b KQ - 3 19,h2h1,black,h2h1,513,512,-1
r1b1qbnr/2Npkp1p/1pn5/Q1p5/P1P1PBp1/3P3N/1P3KPP/1R3B1R b - - 0 14,f7f6,black,f7f6,-383,-418,-35
r1b1kb1r/2p1n1p1/1pp1pp1p/p3q3/Pn2PPP1/1P3Q1P/N1PP4/R1B1K1NR b KQkq - 2 14,e5a1,black,e5a1,761,783,22
rnb2qnr/p1p1kp1p/Bp4pb/3p2P1/PP1pPP2/2P1B3/7P/RN1QK1NR b KQ - 1 12,d4e3,black,b8a6,135,123,-12
2b2bnr/rp2p1p1/p1nq2p1/2p1k1Bp/1Pp1P1P1/N2P1P1P/P6R/R2BK1N1 b Q - 5 17,e5e6,black,e5e6,590,571,-19
rn1qk1nr/1bpp1pB1/p2P2p1/1p2p3/7P/N2P4/PP2PPPN/RQ2KB1R b KQkq - 3 11,h8h5,black,h8h5,-278,-275,3
1r1q1bn1/2k1p1pr/B4p1p/Ppp1n1NP/P2Q2b1/B1pP4/N4P2/2R1K2R b - - 3 23,d8d4,black,d8d4,656,638,-18
1rbk1b1r/pp2p2p/2p2pqn/2Pp2p1/1n3P2/PP2P3/1B1PK1PP/RN1Q1BNR b - - 0 14,b4d3,black,b4d3,405,440,35
rn2k1n1/p1p1q3/3b1p1P/1p2pbRp/3Pp3/PP1Q1N2/2P2P1P/RNB1K3 b - - 1 17,f6g5,black,f6g5,358,397,39
rn1q1b1r/p1ppkppp/b3p2n/1p6/1P5P/2N1P3/P1PPQPP1/R1B1KBNR b KQ - 3 6,e7e8,black,e7e8,-77,-91,-14
r6r/1ppkq1pp/5p1n/p1B2b1Q/3p1Nn1/PP3P2/R1PNP2P/4KB1R w K - 0 21,c5e7,white,c5e7,724,695,-29
rn1q1br1/2pppkpp/b6n/pp5P/4P2R/6P1/PPPPBP2/RNB1K1N1 w Q - 0 9,d2d4,white,g1f3,-586,-570,16
r1b1kb1r/nppp2p1/5p1n/P4q2/4Pp1p/N5PP/P1PPQ3/R1BK1BNR w kq - 0 13,e4f5,white,e4f5,644,634,-10
r1bqkbn1/pp4p1/n3pp1r/2pp2Pp/P2PN2P/1QP5/1P2PP2/R1B1KBNR b KQ - 3 10,h6h8,black,h6h8,-57,-71,-14
