fen,dataset_next_move,side_to_move,stockfish_bestmove,score_before,score_after,delta
r1b1kbr1/4pp2/1p3npp/p1qp4/1PPP1B2/N3KP1P/PQ4P1/R4BNR w q - 2 20,b4c5,white,b4c5,797,798,1
1rbqkbnr/4p3/pp3p2/2pp1PpN/4P2Q/1P6/P2P1KPP/nNB2B1R w k - 0 15,h5f6,white,h5f6,-370,-369,1
r2q1bnr/p1ppk1p1/b1n2p2/3P3p/2P3P1/5N2/PP2PP1P/RNB1KB1R w KQ - 0 11,d5c6,white,d5c6,-458,-425,33
rnbqkb1r/1p3ppp/2pppn2/p7/P7/3P3N/NPP1PPPP/R1BQKB1R w KQkq - 2 6,e2e4,white,e2e4,-75,-75,0
r1bqk2r/ppp1p2p/2np4/P3bppn/Q1P5/4P3/RP1P1PPP/1NBK1BNR w kq - 10 10,d2d4,white,d2d4,211,213,2
1rbk4/1pN2pb1/3q1Ppn/n1ppp2P/4Q3/P1PPP2p/1P5P/R1B1KBNR w KQ - 1 19,e4d5,white,e4d5,558,572,14
r1bq1bn1/1ppkp3/p1npQ2r/6Pp/8/4P1P1/PPPP1PB1/RNB1K1NR b KQ - 2 8,h6e6,black,h6e6,465,424,-41
r5n1/p1p2pp1/1P1k4/n2pp1p1/6b1/P1PPPP1r/3NN1B1/R3KR1q w - - 1 24,f1h1,white,f1h1,-136,-151,-15
2bqkb1r/r1pp3n/p1n2ppp/1p6/P4NP1/1PP5/1B1P1P1P/RN1QKB1R b KQk - 1 12,d8e7,black,d8e7,-8,-5,3
1rbk2r1/1q2bp1p/p3p1pn/2p1p1P1/nPP2P1P/N1QPP3/R2BK3/2R5 w - - 1 24,c3b3,white,c3b3,-421,-444,-23
rnbqkbnr/p1ppp3/1p6/5ppp/P7/NP6/2PPPPPP/R1BQKBNR w KQkq - 0 6,c1b2,white,c1b2,42,51,9
r3kbnr/pb1pq3/1p2p2p/4nP2/Q6p/2P1NP2/P2PPK1R/R1B2BN1 b kq - 1 15,g8f6,black,g8f6,-61,-52,9
r1bqkb2/p1ppp3/n3P1pr/6Pp/1p3pB1/NP1P2P1/P1PK3P/R1BQ2NR b q - 1 13,h5g4,black,b4a3,-327,-350,-23
r1b2b1r/1pppnp2/5P1q/npk5/2N1p2p/3P3P/PRP1PKRP/3Q1BB1 w - - 4 19,f2e1,white,f2e1,487,496,9
2bqkbn1/rpp1pp1r/n7/p2p2pp/2P5/P2BPP2/1P1P2PP/RNBQK1NR w KQ - 4 8,d3h7,white,d3h7,441,437,-4
r1b1k1nr/p2n4/1PN1p2p/6p1/5p1P/RPP5/2P1PPPR/2B1KBN1 w k - 0 19,h4g5,white,h4g5,662,668,6
rnbqkb1r/ppp2p1p/3p1n2/4p1p1/6P1/1P6/P1PPPP1P/1RBQKBNR w Kkq - 0 7,h2h4,white,h2h4,-434,-435,-1
1r2k2r/1bppp1bp/p4p2/B1n3p1/2P2P2/P4B1P/1P2P3/RN1QK2R w k - 1 17,f3b7,white,f3b7,649,650,1
r1bqkbnr/p2p1ppp/2p5/2P3NP/1p5R/4p3/1PQB2P1/RN2KB2 w Qkq - 2 16,h4e4,white,h4e4,245,256,11
1nbqk1r1/3npp2/2p4p/p2p4/1r1PQ3/P3PNbP/R2KNPB1/2B4R w - - 0 24,e4h7,white,e4h7,-43,-42,1
3qk1n1/3bp1br/r1p4p/1PppPQp1/p1nP3P/2B2PPN/8/RN1K1B1R w - - 1 24,f5h7,white,f5h7,421,418,-3
rnbqk1n1/P1p4r/1p4p1/2P1pp1p/5PP1/4P2P/3PBK1R/bNB3N1 b - - 0 22,a8a7,black,a8a7,797,793,-4
r3kb1r/1pp1ppp1/p2q1n2/3pPb1p/1n6/3P1P2/PPPN2PP/1RBQKBNR b Kkq - 5 10,d6e5,black,d6e5,396,387,-9
rn1q1kr1/3p1p2/b6n/pp6/3P2PP/bPN1P2R/2PK1P2/R4BN1 b - - 2 17,a3b2,black,a3b4,742,730,-12
2q1kbnr/prp3pp/8/n2Bp3/b7/P1PPPPP1/1P1NN2P/R1B1K2R b k - 1 19,c7c6,black,c7c6,621,601,-20
rn3bkr/p2p2pp/b4p2/1p1ppPN1/6n1/PP4PR/RBP1P1P1/1N1QKB2 b - - 7 14,a6b7,black,a6b7,-553,-551,2
1n4nr/2pbkp1p/r2p2p1/2b1p2N/p1p1P2P/PP3PK1/R2NB1P1/2BQR3 w - - 0 20,b3b4,white,e2c4,555,561,6
1r2qbnr/1Bpkp1Q1/pp3pp1/4B3/2b5/P7/1P1N1PPn/R3K1NR b KQ - 3 22,f8g7,black,f8g7,517,509,-8
rn1qkbnr/p1pp2B1/b4pp1/1pP1p3/P3P1P1/N2P3P/1PQ1BP2/R3K1NR b KQk - 1 12,f8g7,black,f8g7,114,125,11
r1b1k2r/pppnb1pp/3p4/2nP1pN1/3p4/N3PP1P/PP4P1/R1B2KR1 w kq - 0 18,a3b5,white,e3d4,-515,-514,1
1nb2bnr/2pp1kpp/rp6/p3pP2/PP5q/R1P5/1B1PPP1P/1NQ1KBNR b K - 4 8,c8b7,black,c8b7,79,87,8
1q2kbnr/2p3p1/4pp2/r2p3p/5P2/p1P1B2Q/PPK1P1PP/RN3BNR w k - 5 17,h3e6,white,h3e6,406,423,17
1rbqkbnr/2p1p1pp/pp1p4/4np2/1PP5/3N4/P2PPPPP/RNBQKBR1 b Qk - 0 8,e5c4,black,e5c4,197,191,-6
rn1kr3/pb4Bp/2pp4/2PP4/1p4nb/1P1PQpR1/P5B1/RN2K1N1 b Q - 1 25,h4g3,black,h4g3,568,577,9
r1b1kbnr/2pqp1pp/ppn4B/3p4/P4p2/3P2PP/1PPQPP2/RN2KBNR b kq - 4 10,g8h6,black,g8h6,431,408,-23
r1b1qb1r/1p1p1ppp/2n2n2/p1P1pk2/5B1P/PQN2P2/1PP1P1P1/R3KBNR w KQ - 9 11,g2g4,white,g2g4,99992,99993,1
2bqk2r/1ppp4/r3p2b/p1P3pp/P1QP4/4B1PP/1P3n2/1R3KN1 b - - 0 23,f2e4,black,f2e4,637,625,-12
1nbqkb1r/1p1p1p1p/r3p2n/p1p3p1/2PP4/N3PN2/PPQ2PPP/R1B1KB1R w KQk - 4 7,a3b5,white,h2h3,201,206,5
r1bqkb1r/2pppp2/2n4n/2QP2pp/N4B2/5PP1/2n1PN1P/4KB1R w K - 0 17,c5c2,white,c5c2,-515,-510,5
rnb1k1nr/p2pp3/2p3pb/1p3p1p/1P2q1P1/2PP4/P3NPBP/RQ1K2NR b kq - 0 13,e4g2,black,e4g2,757,728,-29
r3kbnr/p1pbp3/1pq4p/2Pn1pp1/Q3PPP1/2NPp3/PP2N1KP/R4B1R w - - 4 24,a4c6,white,a4c6,108,94,-14
rnbqkbr1/2pppppp/8/p4B2/1p2P1nP/2NP2PN/PPP2P2/R1BQK2R w KQq - 0 9,d1g4,white,d1g4,241,258,17
rnbq3r/p1Nkpp1p/1pp3pn/8/2N3P1/PP1P4/1BP1PP1P/R2QKBR1 b Q - 6 12,d7c7,black,d7c7,-506,-521,-15
1rb1k1n1/3pr3/1pp3pp/1B3pN1/p2p3P/b3P3/4KPPR/n1B3N1 w - - 2 20,c1a3,white,c1a3,-661,-664,-3
rnb2knb/3p3r/1pp2qpN/p3p3/1P3P1P/P1PP4/1B2PKP1/RN1Q1BR1 w - - 2 17,h6g8,white,h6g8,-222,-268,-46
rn2k2r/p4p2/bp2P1pp/P7/1bpn1p1N/2N3P1/2PK3P/R1B1QB1R w q - 4 20,e1e5,white,d2d1,429,451,22
r1b1k1r1/1p1pq1p1/1Pn2p1p/p3pP2/PbP1PP2/8/3P3P/R1BQKBNR w KQq - 1 14,g1e2,white,g1e2,-5,-9,-4
rnbq3r/ppp1nk1p/8/2N1ppp1/2pPP3/3Q1PK1/PPP3PP/R1B3NR b - - 3 10,c4d3,black,c4d3,732,709,-23
1n2kbnr/2p1p3/r4ppp/pp6/3PpPQq/4N3/PPPK2PP/RNB2B1R w k - 0 13,g4h4,white,g4h4,894,858,-36
1nb2b1r/4k1p1/rp1p4/P2Ppp1p/2p3n1/1PP1PP2/QBK3PP/RN4NR b - - 1 17,g4e3,black,g4e3,-295,-334,-39
r1b1k1nr/pppp1pp1/2n2b2/P3p2p/8/RP1P1P2/2P1P1PP/1NQ1KBNR b Kkq - 0 9,d7d5,black,g8e7,-508,-483,25
r2nkbnr/pp6/q4p1p/P1pppb2/2P1PpQ1/BP1P4/4NKPP/RN3B1R w - - 0 18,g4h5,white,g4f5,302,287,-15
rn4n1/2k1bp2/1p1p4/p5B1/1P4qQ/2N2P1p/2bKP2P/5BrR w - - 4 25,f3g4,white,f3g4,140,171,31
rnb1kb1r/ppppn1p1/8/4qpNp/PPPP1P2/7P/4P1P1/R1BQKBNR w KQkq - 1 11,d4e5,white,f4e5,764,754,-10
1rbqkbnr/1p1n4/2p2p2/p2P3p/6Pp/BP3N2/P2PPPB1/RN1QK2R b KQk - 1 10,h5g4,black,h5g4,94,73,-21
rn1k4/p1pp1ppr/b1n1B3/1p5p/1b1BP2P/3P1PP1/P1PN4/R2QK1NR w KQ - 1 16,e6d5,white,d4b2,621,596,-25
4k1nr/rqbp2p1/1p3p2/2p1p2p/B1bnPP1P/N5KN/PP4P1/R1B2QR1 b k - 1 22,c4f1,black,c4f1,835,814,-21
r1b2b1k/ppq5/r5n1/npPBpppp/2Q1PP1P/P1NP2P1/1B5R/2R1K1N1 w - - 5 25,c3b5,white,c3b5,201,206,5
r1bq1bnr/p1p1p1pp/3k1p2/1p1p4/1P1P2N1/2PnPP2/PB1K2PP/R3Q1NR w - - 0 18,d2d3,white,d2d3,-32,-32,0
1r2kb1r/pbp2pp1/Bp1pp3/B6p/3n2P1/NP2P2q/PQ3P1R/1R1K2N1 w - - 2 19,h2h3,white,h2h3,676,658,-18
B1k2bn1/p1n1p1p1/1p5r/2p2P1p/2N5/1P1q2P1/PRP2K1P/2Bq2NR w - - 2 22,c2d3,white,c2d3,-390,-381,9
rnb1kb1r/3p1pp1/p1pqpn1p/8/p7/7N/PPPPPKPP/1RB1QBR1 b kq - 3 11,f6g4,black,f6g4,694,680,-14
rnb1kbnr/2qpp2p/5B2/ppp5/P2PpP2/8/1PP3PP/RN1QKBNR b KQkq - 1 7,g8f6,black,g8f6,389,357,-32
rnbqk2r/1pppbp1p/p3p1pn/8/2P4P/N2BP1P1/PP1P1P2/R1BQK1NR b KQkq - 0 6,d7d5,black,d7d5,84,68,-16
rn1qkbnr/4pppp/4b3/p1p5/P7/3PP3/1PP1QPPP/RNB2KNR b kq - 0 7,g7g6,black,g7g6,278,296,18
1rbqkb1r/1p1pp1pp/n1p5/pB3Kpn/3PP3/5Q2/PPP2PPP/R1B3NR b k - 3 11,d7d5,black,d7d6,99996,99997,1
r3kb1r/pp2pp1p/n3b2n/P1pp2p1/5PP1/Q1PP3N/1PKP3P/RNB2BR1 w k - 7 14,f1e2,white,f4f5,686,679,-7
r1bq1bnr/3pp1kp/n5p1/ppp2P2/P3NP1P/2PP3N/1P2P3/1RBQKB1R w K - 1 14,e4g3,white,a4b5,336,310,-26
rnbq1bnr/p1pkpp2/1p6/3p2pp/3P1P1P/NP6/P1P1PKP1/R1BQ1BNR b - - 0 6,g5g4,black,g5f4,87,56,-31
1r2k2r/3b2qp/Np3pp1/2pp4/2PP1P2/1PN1p3/4P1PP/1R1QKBR1 w - - 1 26,a6b8,white,d1d3,571,560,-11
rnBqkbnr/p1p4p/1p1p4/5p2/4Pp2/7N/PPPP2PP/R1BQK2R b KQkq - 0 8,d8c8,black,d8c8,96,99,3
4kbn1/5r2/pr3pb1/1pB3p1/2P1pPP1/1P1q4/P1PN1K1P/2R2B1R b - - 2 24,d3d2,black,d3d2,99991,99992,1
r1b1kbn1/1q1pp2r/2p3p1/p2PPpR1/PnN4P/1Rp2N2/3BKPBP/6Q1 b q - 3 25,c3d2,black,c3d2,217,232,15
1rb1k1nr/p4p1p/3pp1p1/1p2N3/Pb1PP1PP/3pK3/P1PNQP2/R1B3R1 w k - 1 21,e5d3,white,e5d3,737,732,-5
rn1qkbr1/pppbpppp/3p4/5B2/1Pn5/P3P2N/2PP1PPP/RNBQ1K1R b q - 5 8,d7f5,black,d7f5,473,477,4
1nbqkbnr/1p1p2p1/2p2p2/p7/3PN1P1/1P3r2/P1P1P2P/R1BQKBNR w Kk - 1 14,g1f3,white,e2f3,533,509,-24
r1q1kb1r/3p4/1P2p3/pb3pBp/P3n2P/2P1PN2/Q2N1PP1/R3KB1R b KQk - 4 20,b5f1,black,b5f1,-448,-447,1
1nbq2nr/rpp1p3/2Np2k1/P4pbp/1P5P/B7/2PPPPpR/R1Q1KB2 w - - 0 19,c6d8,white,c6d8,189,213,24
rn2kb1r/p1p1ppp1/3pbq1n/P3P2p/7P/N7/RP1P2P1/2BQK1NR w Kkq - 2 13,e5f6,white,e5f6,322,366,44
rnbqkb2/1pppp1pr/p4p2/4Bn1p/1P3P2/N2PP3/P1P3PP/R2QKBNR b KQq - 4 7,f6e5,black,f6e5,339,351,12
2b1kbr1/rpqn2p1/pQpp1p1p/4p3/PNP3n1/8/1P1PPPPP/R1B1KBNR b KQ - 4 14,d7b6,black,c7b6,766,769,3
r1bqkb1r/pp1pp1pp/2pn1p1n/8/3P4/1P3N1P/P1P1PPP1/RNBQKB1R b kq - 3 8,e7e5,black,e7e5,21,19,-2
rn1k1bn1/2p4r/3P2p1/pp4pp/1q5P/R1P2PP1/3BP3/1NK2B1R b - - 0 19,b4d6,black,b4d6,676,655,-21
rnb1kb1r/pp1ppp1p/2p2n2/1q4p1/P1P2P2/RP6/1B1PP1PP/1N1QKBNR w Kkq - 2 7,a4b5,white,a4b5,743,715,-28
rnbqkb1r/4p1pp/7n/1ppP1p2/p3p1P1/NQP2P1N/PP5P/R1B1KB1R w KQkq - 0 10,b3b5,white,b3b5,251,259,8
rn1k2nr/1b2p2p/ppBp2pb/2p2p2/QPP3P1/P3P3/3P1P1P/RNB1K1NR b KQ - 0 14,b7c6,black,b7c6,-304,-287,17
1rbqk2r/p3ppbp/1p5n/1Bpp2p1/PP2PP1P/8/2PPQ1P1/RNB1K1NR b KQk - 2 9,e8f8,black,e8f8,-235,-249,-14
r1q1kbnr/p1p1pp1p/np1p4/6p1/bPPP3P/P3KPP1/3BP3/RN3BNR w k - 1 13,h4g5,white,h4g5,-629,-619,10
r1bqkb1r/1pppppp1/p1n4p/3P2P1/2P1Q3/7P/PP1KP3/RNB2BNR b kq - 0 10,c6a5,black,c6a5,-322,-338,-16
r1bqkb2/3n1ppr/p7/2P1P2p/p2pP1P1/3P1Q2/2P3PR/RNB1KBN1 b Qq - 0 14,d7e5,black,d7e5,-146,-162,-16
rnq1kbr1/p1ppn2p/1p2p3/4P1p1/2Q2p1P/2PP1PP1/PPN1b2R/R1B1K3 b Qq - 0 17,e2f3,black,e2f3,590,610,20
rnbqk2r/3p1ppp/1p2pn2/p1b5/2pPP2P/2N5/PPP1KPP1/R1BQ1BNR w kq - 2 9,d4c5,white,d4c5,342,353,11
r1bqk3/1ppn1p1r/5npb/pN1ppP1p/QP6/2P4P/PB1PPKPR/R4BN1 b q - 3 11,f6e4,black,f6e4,603,602,-1
r1bk1r2/3nn3/p1p2pp1/7p/P3p2P/1Pp3NB/3PP1KR/RN1Q4 w - - 0 26,g3e4,white,b1c3,671,682,11
r1bqk1nr/pppp2p1/7p/4pp2/PbB1n1Q1/3PP2N/1PPN1PPP/R1B2K1R b - - 4 10,f5g4,black,f5g4,720,680,-40
r1bqkbr1/ppnppppp/2p4n/8/5P2/P6P/1PPPP1P1/RNBQKBNR w Qq - 3 6,g1f3,white,g1f3,19,1,-18
rnbqk1nr/1p1pppb1/p7/2p4p/8/2N1P2P/PPPP1P2/R1BQKBNR b KQkq - 1 7,b8c6,black,b8c6,35,37,2
rn1qkbnr/1pp1pp1p/p2pb3/4P3/5PQ1/2NP3P/PPP3P1/R1B1KBNR b KQkq - 2 8,e6g4,black,e6g4,402,389,-13
r2k3r/pb4bp/1p4pn/1np1Q1P1/1PP1p3/P2P1q2/4P2P/2KR1BNR w - - 0 25,d3e4,white,d3e4,439,473,34
rnb1k2r/3p1p1p/2pb2pn/1p2p3/1p1B2P1/3P1PK1/P1P1P1B1/RNQ3q1 b q - 3 16,e5d4,black,e5d4,1313,1345,32
rnb1kb1r/1pppqp1p/p3p2n/6pP/4P3/PPN2P2/2PP2P1/R1BQKBNR w KQkq - 1 8,d2d4,white,d2d4,137,129,-8
rnb1kr2/p1p5/4p3/1pPN2pp/3bnPp1/1Q1PP2P/1P2N1P1/q1B1KB1R w Kq b6 0 24,d5c7,white,d5c7,151,133,-18
1nbqkb2/rpppppp1/5n1r/p7/6pP/2N2P2/PPPPP3/R1BQKBNR w KQ - 0 7,e2e4,white,f3g4,60,69,9
1nb1kb1r/r3pppp/2p4n/pp1p4/1q6/2N2PPP/PPPBPKB1/R4QNR w k - 2 11,e2e4,white,e2e4,-215,-213,2
r1bq1bnr/1p1p1k1p/n3pp2/p1p5/PPP2P2/4P1pN/1BQP4/RN2KB1R b KQ - 0 13,a6b4,black,a6b4,108,109,1
2bq1b1r/2pk2p1/r1n5/p1n1pp1p/P2PPP2/1R1Q2PN/1P3K1P/1NB4R b - - 7 25,c5d3,black,c5d3,799,802,3
4kb1r/2pb2pp/r7/1pnn1pQ1/p5PP/P2q4/1P1P2K1/RNB3R1 w - - 2 25,b1c3,white,g4f5,-864,-1059,-195
r1b1kb2/ppp1qN1r/3p3p/nN3pp1/1P1Pp2P/P2P4/2PB1PP1/RQ2KB1R w KQq - 3 18,f7d6,white,f7d6,410,463,53
1rbqk1r1/2pnp1bp/p1B2p2/Q3p3/P4PP1/2P2K2/1P1P4/1NB3NR b - - 0 23,e7e6,black,e7e6,268,250,-18
rnb1kb1r/1p4p1/2pppp2/p4n2/2P1PQ1p/N4P2/PP2K1PP/R1B2BNR b kq - 1 13,e6e5,black,e6e5,-573,-559,14
2b1qk1r/rpppn3/2n4p/p4pp1/PP1P1p1b/N4K2/3BP1P1/1R2QBNR b - - 0 21,c6d4,black,c6d4,99999,100000,1
rnb1kbnr/5q2/1p3p1p/p1pp4/PP5P/3P2P1/2PBPK2/1R1Q1BNR w q - 0 16,b4a5,white,b4a5,-184,-174,10
1rb1kb1r/pp1pp2p/n7/2q2p2/1p2P1p1/3P1N2/PBPQ1PPP/RN2KB1R w KQk - 0 11,f3h4,white,f3h4,465,422,-43
1nb1k1nr/1p1p1pp1/r1p1p3/4P1qp/P1B3PP/5P2/P1PP4/RNQ1K1NR b KQk - 2 13,g5e5,black,g5e5,311,326,15
5bnr/1p1bk1p1/rPnppp2/q1p4p/p2N2P1/P1PPP3/2QBKPBP/RN5R w - - 1 15,d4c6,white,d4c6,-48,-57,-9
r2q1k1r/1b1p4/B1n1p3/p4pp1/2PpP1np/bP3N1P/P1QB1PP1/RN1R2K1 w - - 1 16,a6b7,white,a6b7,361,382,21
4rbnr/1pknp1pp/p3N3/3p1p2/1q1B1P2/3P4/P1P1PKPP/RN1Q1B1R b - - 0 14,c7b8,black,c7b8,-396,-409,-13
r4bnr/1pqkppp1/2pp3p/p2P4/QP3P2/B1nBP2P/P5P1/2RbK1NR b K - 1 14,d1a4,black,d1a4,684,670,-14
rn1qkbnr/2p1pp1p/pp1p4/3B1bp1/6P1/2PP4/PP2PP1P/RNBQK1NR w KQkq - 2 6,g4f5,white,g4f5,526,527,1
N1b5/3pP2N/p2k1bpp/2p1qp2/2P2P2/R4nKn/1P1BP1PP/1N3BR1 b - - 0 23,f6h4,black,f6h4,-278,-320,-42
r1bqkb1r/p2pp3/n1p2p1n/1pP3pp/1Q1P2N1/8/PP2PPPP/RNB1KBR1 w Qkq - 0 10,g4f6,white,g4f6,-361,-332,29
r1b2br1/pp1pk1pp/n6n/N3ppqP/1Pp1P3/6P1/P1PP1P1R/R1BQKBN1 w Q - 1 10,d2d4,white,d2d4,311,305,-6
1rb1k1r1/1p1p2p1/p1p5/b2np1p1/4P2P/Pq4P1/2PPBP2/RNB1K2R w - - 0 20,c2b3,white,c2b3,-25,-25,0
r2k3r/1b5p/p2ppp2/n1b3p1/qpP1NPBn/PP2P1QN/1B1K2PP/R4R2 b - - 3 23,a5b3,black,a5b3,275,300,25
rnbqk2r/ppppbpp1/5n2/2P1p3/6Pp/P7/RP1PPP1P/1NBQKBNR w Kkq - 2 6,d2d4,white,g4g5,-160,-163,-3
rnb1kb1r/ppp1p1pp/7B/q2p1p2/1P1P4/P3P3/R1P2PPP/1N1QKBNR w Kkq - 1 7,b4a5,white,b4a5,783,787,4
r4bnr/p3k2p/bpnpppp1/1B3QP1/3PP3/NPBK1P2/P1P1q3/1R4NR w - - 1 21,g1e2,white,g1e2,586,519,-67
r3kbnr/p1p1p1p1/n2q1p2/1P1p1b1p/p2P1P1P/N3B3/2P1P1P1/R2QKBNR w KQkq - 2 9,b5a6,white,b5a6,197,200,3
r2qkbnr/ppp1pppp/2np4/1B3b2/2PP4/4PN1P/PP3PP1/RNBQK1R1 w Qkq - 1 8,d4d5,white,d4d5,237,254,17
r3k3/ppQ4p/P4nr1/4pp2/2Pp3b/B2PP2b/P4PPP/RN1K1B1R w - - 1 19,c7e7,white,c7e7,99999,100000,1
r2k2r1/1pBbb1p1/pnp1pn2/N2p1PPp/3P2qP/6R1/P1P1N3/R2QKB2 b Q - 7 22,d8c7,black,d8c7,-76,-80,-4
r1b1kbr1/1pqpp1pp/8/3Qnp2/p1P2P2/N3B1P1/P2KP2P/R4BNR w q - 3 15,d5e5,white,d5e5,505,449,-56
2bq2nr/n1pkpQ2/rp6/2P1bPpp/8/P4P1P/B2P2P1/RNB2KNR w - - 0 19,f7d5,white,f7d5,407,408,1
rnbqkb1r/pp1p1p1p/2p5/1P1np1p1/5PP1/P6P/2PPP3/RNBQKBNR w KQkq - 0 7,f4e5,white,f4e5,-2,-6,-4
rnb1kbnr/1p1p1p2/p3pqpp/2p4P/1PP5/6P1/P1QPPP2/RNB1KBNR b KQkq - 0 7,f8g7,black,f8g7,190,222,32
rn1qk1Br/p2b4/2p2b2/3p4/PP2p1p1/N4N1P/2PPP3/1RBQKB1R b Kkq - 2 15,f6h4,black,f6h4,99998,99999,1
r3kbnr/p1pqpppp/3p4/nP6/6P1/4PN1P/bPPP1P2/RNBQKBR1 w Qkq - 1 8,a1a2,white,a1a2,660,647,-13
1nb1kb1r/7p/r1pp1pp1/8/QPPP1Pn1/3R3N/1B1KP2P/5B1R w - - 1 21,a4b3,white,a4b3,553,559,6
r2qk3/1p1bp3/2np2Nn/P1p1P1pp/P1P2pPP/5Q2/R2P1PB1/1NB1K2R w K - 1 22,h4g5,white,h4g5,572,536,-36
r2k1bnr/ppp5/q1P5/1P2pppp/3n1PP1/4N3/PB1KP2P/Rb2QBNR b - - 0 16,a6a5,black,a6a5,356,363,7
rnbq1bnr/2pkpp1p/1p1p2p1/p1P5/3P4/4BP1N/PPN1P1PP/1R1QKB1R b K - 1 9,b6c5,black,b6c5,-1,-12,-11
N3kbn1/prp1Br2/n2pb3/1p1B4/P5PN/7P/4PP1R/n3K3 b - - 0 24,e6d5,black,e6d5,806,833,27
6nr/4k2p/3pp3/2r1Pp2/3P1b1p/8/PP1NKPbB/4RB1R b - - 6 25,g2h1,black,g2h1,-158,-177,-19
r1b2k1r/pp1n1p1p/1q3np1/1P1pp3/1bpP2PP/4K3/P1P1PP2/RN1Q1BNR b - - 0 15,f6g4,black,f6g4,99994,99995,1
r1bqk2r/2pnn2p/4p1p1/pp1P1p2/3P3P/1P6/P1PN1PP1/R1BQKBNR w KQkq - 0 12,a2a4,white,d5e6,547,539,-8
r1q3nr/1pp2p2/p3bkp1/2P4p/n2Pp1PP/b3K1R1/PP2Q1N1/R1B2BN1 w - - 1 22,e3f2,white,e3f2,233,214,-19
rnbqk2r/1p1pnp2/p1p1p3/6pp/QbP1PP2/3K3P/PP1P2P1/RNB2BNR w kq - 0 8,a4b4,white,a4b4,234,232,-2
2b1kb1r/rp2n3/1qnppp2/p1P3p1/PP2PPp1/7P/2P3B1/RNBQ1KNR w k - 1 15,c5b6,white,c5b6,618,622,4
1nbq1bnr/3pp1pp/1p2kp2/p1p3P1/P2RP2P/2R5/1PrPNP2/1NBQKB2 w - - 0 13,e2f4,white,d1c2,455,432,-23
5Qb1/rppkn1b1/2np3p/5P2/p1P1p3/5B1p/PP1PKPqN/RNB2R2 w - - 0 26,f3g2,white,f3g2,284,252,-32
rnbqkbr1/1pppppp1/7p/8/p6P/PPNP1n2/2PKPP2/R1BQ1BNR w q - 1 9,g1f3,white,g1f3,251,243,-8
2b1kb2/r1qn1prp/Q2pp3/2p3p1/1PP1P1P1/P7/3PK1BP/R5NR b - - 0 24,c8a6,black,c8a6,783,766,-17
2b2q2/1n1k4/rpp1p2p/pP1p1p2/3B2P1/P2P3p/2P2P1P/RN1QKR2 b Q - 3 25,a6a8,black,c6b5,-484,-460,24
rn1qk1nr/p1p3pp/1p1b4/3ppp2/6bP/1PN2P2/P1PPP1PR/R1BQKBN1 w Qkq - 2 8,e2e4,white,e2e4,13,26,13
rn1q1bnr/p2k3p/1Qpp1p2/4p1p1/Ppb1P3/1P1P3N/2N2PPP/R1B1KB1R w K - 0 14,b6d8,white,b6d8,380,344,-36
rnb3nr/p1Np1k2/1pp2ppp/2b1p3/2P1PPqN/P2P4/1P1BQ1PP/1R2KB1R w K - 3 16,e2g4,white,e2g4,822,819,-3
r1b2bnr/p1p2kp1/3Ppq1B/1p3p1p/1P4P1/2NP1N1P/1PP2P2/R2QKB1R b KQ - 2 13,g7h6,black,g7h6,-240,-255,-15
2nq2n1/prpbkr2/1p1p1N1b/1P3P1p/8/P2P3P/4P1P1/RNBQKB1R b Q - 0 20,e7f6,black,e7f6,-37,-65,-28
r2qkb1r/3n4/2ppp2p/pp1b1pN1/P3nPp1/2P1P2P/1B1PK1P1/R2Q1BR1 b kq - 1 25,h6g5,black,h6g5,666,667,1
rnb1k2r/1p2pnb1/p1pp4/2P2pp1/5P2/3KP1Np/PP1P3P/RNB4R b kq - 3 19,g5f4,black,g5f4,612,618,6
r1bqkb1r/ppp2ppp/P2p1n2/1n2p3/2P5/7N/1P1PPPPP/RNBQKB1R b Kkq - 0 7,b5d4,black,b5d4,5,8,3
r2R4/1b1p1k1p/p7/1p2P1P1/1np1p1p1/B1P5/P2QPKB1/RN4N1 b - - 0 23,b4d3,black,a8d8,-828,-859,-31
1nb2r2/3q2p1/1pp2k1n/1Qrpp1N1/3B1p1p/3PP1PP/PP2KP2/RN3BR1 b - - 1 25,c5b5,black,c5b5,463,450,-13
rn2k1nr/4qpp1/p2b3p/2p1p3/bpp1P1P1/PP6/3PQP1P/RNB1KBNR w KQkq - 0 13,b3a4,white,b3a4,134,135,1
rB2r2k/Q1nbpp1p/1p5b/1Npp2p1/P1P3P1/3nKP1B/1P2P2P/RN5R w - - 0 21,a7c7,white,e3d3,563,572,9
1nq2b1r/rpp1k3/P1bp4/2nB1p1p/P2PpPP1/N1P1P2p/3QK2P/R1B3R1 b - - 0 21,c5d3,black,c5d3,367,348,-19
rnbqkb2/ppppp2p/r7/1n3p1P/5pP1/N1PPR3/PP2K3/1RB2QNB b q - 5 17,b5a3,black,b5c3,242,260,18
2b1kb1r/Npp4p/r2ppppn/p7/P1Pn1q2/3P4/1P2P1PP/1RBQKBNR b Kk - 2 12,f4e5,black,f4e5,169,183,14
r1b1k2r/2pp1pp1/3Q4/pp2pnqp/1bB1P3/3P3P/PPPN1PP1/R1B1K1NR b KQkq - 6 12,f5d6,black,f5d6,626,656,30
